Tên	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Bí kiếp âm dương	Số thứ tự bí kiếp	Thêm công kích ngoại công chủ động:	Tầng thứ	Thêm công kích nội công chủ động:	Tầng thứ	Thêm công kích phụ trợ: 	Tầng thứ 	Thêm phòng ngự phụ trợ:	Tầng thứ	Số phụ lục mật tịch	Tầng thứ 	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	Khi sử dụng trang bị sẽ hiển thị tên loại hình	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Cấp	Phẩm chất mật tịch kỹ năng	Có/không thể vứt (0 được; 1 không được)	Lưu phái	Lưu ( Chữ số)	Bối cảnh
	0	107	1 số tùy ý; không bị trùng			0=Không		Nhỏ nhất; lớn nhất	Nhỏ nhất; lớn nhất	Nhỏ nhất; lớn nhất	Nhỏ nhất; lớn nhất	Nhỏ nhất; lớn nhất	Nhỏ nhất; lớn nhất	Nhỏ nhất; lớn nhất	Nhỏ nhất; lớn nhất	Nhỏ nhất; lớn nhất	Nhỏ nhất; lớn nhất												
						1=âm																							
						2=dương																							
																													
Kim Cang Phục Ma kinh	0	107	1	1	10	2	401	60;120	30;50	10;20	0;10	30;60	20;30	40;80	20;40	20;30	10	\image\item\book\book_078a1.spr	\image\item\book\book_078a0.spr	Mật tịch Thiếu Lâm Tục Gia, ghi chép tuyệt học Kim Cang Phục Ma Khuyên		Mật tịch		45	0;60		2		
Kim Cang Phục Ma Tâm Pháp	0	107	2	1	10	2	401	40;80	20;40	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_079a1.spr	\image\item\book\book_079a0.spr	Mật tịch Thiếu Lâm Tục Gia, ghi chép tâm pháp Kim Cang Phục Ma Khuyên		Mật tịch		45	0;60		2		
Tiềm Long Mật tịch	0	107	3	1	10	2	402	10;20	0;10	60;120	30;50	40;80	20;40	30;60	20;30	20;30	10	\image\item\book\book_003a1.spr	\image\item\book\book_003a0.spr	Mật tịch Thiếu Lâm Võ Tăng, ghi chép tuyệt học Tiềm Long Thần Công		Mật tịch		45	0;60		4		
Tiềm Long Tâm Pháp	0	107	4	1	10	2	402	10;20	0;10	40;80	20;40	60;120	30;50	30;60	20;30	20;30	10	\image\item\book\book_004a1.spr	\image\item\book\book_004a0.spr	Mật tịch Thiếu Lâm Võ Tăng ghi chép tâm pháp Tiềm Long Thần Công		Mật tịch		45	0;60		4		
Vô Trần Mật tịch	0	107	5	1	10	2	403	10;20	0;10	60;120	30;50	30;60	20;30	40;80	20;40	20;30	10	\image\item\book\book_005a1.spr	\image\item\book\book_005a0.spr	Mật tịch Thiếu Lâm Thiền Tăng, ghi chép tuyệt học Vô Trần Thần Công		Mật tịch		45	0;60		3		
Vô Trần Tâm Pháp	0	107	6	1	10	2	403	10;20	0;10	40;80	20;40	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_006a1.spr	\image\item\book\book_006a0.spr	Mật tịch Thiếu Lâm Thiền Tăng, ghi chép tâm pháp Vô Trần Thần Công		Mật tịch		45	0;60		3		
