Tên Mão	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Ngũ hành	Độ bền	(Ngoại, nội) phòng	Thuộc tính hỗ trợ 1	Trị số Thuộc tính hỗ trợ 1	Thuộc tính hỗ trợ 2	Trị số Thuộc tính hỗ trợ 2	Số trang bị	Đắng cấp yêu cầu	Giới tính yêu cầu	Thể hình yêu cầu	Môn phái yêu cầu	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	ì°±áễÚẫớẫẽàÄấ±ºũÊơấạểÃàÄẽễấắÀàéÍÃỷìệ	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Cấp	Có/không thể giao dịch(0 được,1 không được,2 chỉ có thể bán ở tiệm,3 chỉ có thể bán)	Có/không thể vứt (0 được; 1 không được)	Lưu phái	Có/Không thể sửa (0Có/1Không)	Dự Lưu	Tiêu chí phát triển	Biên hiệu phát triển	Biên hiệu mở khóa	Biên hiệu kinh nghiệm
Thiếu Hiệp Cân	0	103	1	5	1	0	20	10;3						2	1	1		\image\item\cap\man1_cap_001a1.spr	\image\item\cap\man1_cap_001a0.spr	Loại khăn quấn thông thường, rất dễ mua	±ờìẳÄéÍã²¿001	Mão		1	0	0		0					
Phong Vũ Cân	0	103	2	5	1	0	25	12;4						8	1	1		\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	Anh hùng hiệp khách thường sử dụng. Quý phái lạ thường	±ờìẳÄéÍã²¿002	Mão		1	0	0		0					Anh Hùng Cân	0	103	3	10	396	0	30	13;4						13	1	1		\image\item\cap\man1_cap_003a1.spr	\image\item\cap\man1_cap_003a0.spr	Người mang vào như được trợ thêm khí phách	±ờìẳÄéÍã²¿003	Mão		2	0	0		0					Cẩm Bố cân	0	103	4	5	457	0	25	4;13						14	1	1		\image\item\cap\man1_cap_004a1.spr	\image\item\cap\man1_cap_004a0.spr	Dùng để búi tóc, rũ ra phía sau rất đẹp	±ờìẳÄéÍã²¿012	Mão		2	0	0		0					
Anh Hùng Cân	0	103	3	10	396	0	30	13;4						13	1	1		\image\item\cap\man1_cap_003a1.spr	\image\item\cap\man1_cap_003a0.spr	Người mang vào như được trợ thêm khí phách	±ờìẳÄéÍã²¿003	Mão		2	0	0		0					
Cẩm Bố cân	0	103	4	5	457	0	25	4;13						14	1	1		\image\item\cap\man1_cap_004a1.spr	\image\item\cap\man1_cap_004a0.spr	"Dùng để búi tóc, rũ ra phía sau rất đẹp"	±ờìẳÄéÍã²¿012	Mão		2	0	0		0					
Mãn Nguyệt Lạp	0	103	5	15	725	0	45	15;5						21	1	1		\image\item\cap\man1_cap_005a1.spr	\image\item\cap\man1_cap_005a0.spr	Dùng để đi trong gió tuyết	±ờìẳÄéÍã²¿004	Mão		2	0	0		0					
Kim Phong Quán	0	103	6	10	734	0	35	5;15						22	1	1		\image\item\cap\man1_cap_006a1.spr	\image\item\cap\man1_cap_006a0.spr	Thuần ngân chế thành. Khảm nhiều Bảo Thạch cực quý.	±ờìẳÄéÍã²¿008	Mão		2	0	0		0					
Mông Diện Cân	0	103	7	20	1046	0	60	17;6						30	1	1		\image\item\cap\man1_cap_007a1.spr	\image\item\cap\man1_cap_007a0.spr	Che nửa khuôn mặt! Các hiệp khách thường dùng khi hành hiệp	±ờìẳÄéÍã²¿015	Mão		3	0	0		0					
Hoa Dương cân	0	103	8	10	1115	0	50	6;17						31	1	1		\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	Làm từ tơ băng tàm ngàn năm, bền chắc vô song	±ờìẳÄéÍã²¿010	Mão		3	0	0		0					
Thiết Tuyến Lạp	0	103	9	30	1695	0	80	19;7						38	1	1		\image\item\cap\man1_cap_009a1.spr	\image\item\cap\man1_cap_009a0.spr	Chế từ tinh thiết. Chống được cung tên rất hiệu quả	±ờìẳÄéÍã²¿005	Mão		3	0	0		0					
Dật ẩn Quán	0	103	10	15	1811	0	65	7;19						39	1	1		\image\item\cap\man1_cap_010a1.spr	\image\item\cap\man1_cap_010a0.spr	Mùi hương xua đuổi tất cả các loại độc trùng	±ờìẳÄéÍã²¿007	Mão		3	0	0		0					
