Tên	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Sếp chồng nhiều nhất	Hồi phục thuộc tính1	Trị số phục hồi thuộc tính mỗi nữa giây (1)	Hồi phục thuộc tính2	Trị số phục hồi thuộc tính mỗi nữa giây (2)	Hồi phục thuộc tính3	Trị số phục hồi thuộc tính mỗi nữa giây (3)	Hồi phục thuộc tính4	Trị số phục hồi thuộc tính mỗi nữa giây (4)	Thời gian duy trì hiệu lực (Số chẵn)	Lưu ( Chữ số)	Lưu ( Chữ số)	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	Lưu (chuỗi ký tự)	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Cấp	Có/không thể giao dịch (0 được,1 không được,)	Có/không thể vứt (0 được; 1 không được)	Lưu 2	Lưu 3
Ngân phiếu của Dã Tẩu	2	0	1	2	0	1												\image\item\other\spec_002a1.spr	\image\item\other\spec_002a0.spr	Loại tiền thông hành thời nhà Tống.		Nhiệm vụ		1	1	1		
Mật tịch của Dã Tẩu	2	0	2	2	0	1												\image\item\book\book_gra001a1.spr	\image\item\book\book_gra001a0.spr	Ghi chép hướng dẫn những kỹ năng cần thiết cho tân thủ		Nhiệm vụ	\script\item\yesoumiji.lua	1	1	1		
Liêu Thông lệnh	2	0	3	2	0	1												\image\item\other\holi_022a1.spr	\image\item\other\holi_022a0.spr	Có thể tự do ra vào Nhạn Môn Quan, vào biên giới Tống.		Thu thập		1	0	0		
Quân phục Tống binh	2	0	4	2	100	999												\image\item\other\quest_004a1.spr	\image\item\other\quest_004a0.spr	Quân phục quân sĩ phe Tống		Thu thập		1	0	0		
Cháo Lạp Bát	2	0	5	2	0	1												\image\item\other\holi_027a1.spr	\image\item\other\holi_027a0.spr	1 bát cháo Lạp Bát thơm phức		Nhiệm vụ		1	1	1		
Thuổng sắt	2	0	6	2	0	1												\image\item\other\quest_006a1.spr	\image\item\other\quest_006a0.spr	Dụng cụ đào đất thường dùng		Nhiệm vụ	\script\item\tieqiao.lua	1	1	1		
Tân Thủ Ngọc Bội	2	0	7	2	0	1												\image\item\other\quest_013a1.spr	\image\item\other\quest_013a0.spr	Loại ngọc bội thứ phẩm, không có giá trị cao.		Nhiệm vụ		1	0	0		
Tân Thủ Hương Nang	2	0	8	2	0	1												\image\item\other\quest_012a1.spr	\image\item\other\quest_012a0.spr	Loại hương nang thứ phẩm, không có giá trị cao.		Nhiệm vụ		1	0	0		
Bát Quái ấn_Càn	2	0	9	2	0	1												\image\item\other\quest_007a1.spr	\image\item\other\quest_007a0.spr	Vòng bát quái phía trên có khắc chữ Càn nhỏ.		Nhiệm vụ		1	2	1		
Phỉ Thúy Giới Chỉ	2	0	10	2	0	1												\image\item\other\quest_014a1.spr	\image\item\other\quest_014a0.spr	Làm từ Phỉ Thúy, giúp tăng năng lực phòng ngự nhất định.		Nhiệm vụ		1	2	1		
