Tên trang sức	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Ngũ hành	Độ bền	Phòng ngự (Nội, ngoại)	Thuộc tính hỗ trợ 1	Trị số Thuộc tính hỗ trợ 1	Thuộc tính hỗ trợ 2	Trị số Thuộc tính hỗ trợ 2	Số trang bị	Đắng cấp yêu cầu	Giới tính yêu cầu	Thể hình yêu cầu	Môn phái yêu cầu	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	ì°±áễÚẫớẫẽàÄấ±ºũÊơấạểÃàÄẽễấắÀàéÍÃỷìệ	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Đánh giá đẳng cấp	Có/không thể giao dịch (0 được,1 không được,)	Có/không thể vứt (0 được; 1 không được)	Lưu phái	Có/Không thể sửa (0Có/1Không)	Dự Lưu	Tiêu chí phát triển	Biên hiệu phát triển	Biên hiệu mở khóa	Biên hiệu kinh nghiệm
Huân Y Hương Nang	0	102	1	1	10		20							5	2			\image\item\ring\ring_001a1.spr	\image\item\ring\ring_001a0.spr	Loại hương liệu cực quý có tác dụng thanh tâm tịnh khí.		Bố phẩm		1	0	0		0					
Hợp Hoan Hương Nang	0	102	2	2	20		20							15	2			\image\item\ring\ring_002a1.spr	\image\item\ring\ring_002a0.spr	Hương nang làm từ cỏ Hợp Hoan, có tác dụng thanh tâm tịnh khí.		Bố phẩm		2	0	0		0					
Trầm Đàn Hương Nang	0	102	3	3	50		20							25	2			\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Bố phẩm		3	0	0		0					
Tiên Xạ hương Nang	0	102	4	4	100		40							35	2			\image\item\ring\ring_004a1.spr	\image\item\ring\ring_004a0.spr	Tiên Xạ hương nang, có tác dụng thanh tâm tịnh khí		Bố phẩm		4	0	0		0					
Long Diên Hương Nang	0	102	5	5	400		40							45	2			\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Bố phẩm		5	0	0		0					
Lục Du Ngọc Bội	0	102	6	1	10		20							10	1			\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	Loại ngọc bội tinh quý, mang đến luồng không khí ấm áp		Bố phẩm		1	0	0		0					
Kinh Bạch Ngọc Bội	0	102	7	2	20		20							20	1			\image\item\ring\ring_007a1.spr	\image\item\ring\ring_007a0.spr	Loại ngọc bội màu trắng, đeo vào giúp cơ thể ấm áp		Bố phẩm		2	0	0		0					
Đào Hoa Ngọc Bội	0	102	8	3	50		20							30	1			\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Bố phẩm		3	0	0		0					
Ngũ Sắc Ngọc Bội	0	102	9	4	100		40							40	1			\image\item\ring\ring_009a1.spr	\image\item\ring\ring_009a0.spr	Loại ngọc bội ngũ sắc, mang đến một luồng không khí ấm áp		Bố phẩm		4	0	0		0					
Mặc Ngọc Ngọc Bội	0	102	10	5	400		40							50	1			\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Bố phẩm		5	0	0		0					
